read_id	clean_mapped	perturbed_mapped	mapping_transition	clean_chrom	perturbed_chrom	chromosome_changed	clean_start	perturbed_start	coordinate_shift_bp	large_coordinate_shift_ge100	large_coordinate_shift_ge1000	clean_strand	perturbed_strand	strand_changed	clean_mapq	perturbed_mapq	mapq_change	mapq_drop_ge5	mapq_drop_ge10	clean_nm	perturbed_nm	nm_change	clean_cigar	perturbed_cigar	cigar_changed	clean_soft_clip	perturbed_soft_clip	soft_clip_change	clean_hard_clip	perturbed_hard_clip	hard_clip_change	clean_insertion_bases	perturbed_insertion_bases	insertion_change	clean_deletion_bases	perturbed_deletion_bases	deletion_change	clean_aligned_query_length	perturbed_aligned_query_length	aligned_query_length_change	clean_reference_span	perturbed_reference_span	reference_span_change	clean_secondary_count	perturbed_secondary_count	secondary_count_change	clean_supplementary_count	perturbed_supplementary_count	supplementary_count_change
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1	1	mapped_to_mapped	chr2	chr2	0	209684170	209684170	0	0	0	+	+	0	60	60	0	0	0	60	72	12	1S38M2I473M7I250M3I7M2I2M1D300M1I16M1D14M1D215M2I7M1I15M4I1M1D6M1I28M1I55M1D37M5D3M2I44M	36S38M2I54M1I215M1I162M1I29M1I3M1D9M5I250M3I1M1D3M2I71M2D2M1I14M1D203M1I12M1I9M1I7M1D14M1D208M1I2M3I11M1D15M4I1M1D6M1I28M1D40M1D13M1D37M5D3M1D9M1I35M	1	1	36	35	0	0	0	26	30	4	10	18	8	1537	1534	-3	1521	1522	1	0	0	0	0	0	0
0036953b-980e-47f3-bdd0-3923921aff69	1	1	mapped_to_mapped	chr1	chr1	0	119829216	119829216	0	0	0	-	-	0	60	60	0	0	0	7	20	13	2S65M1D88M1I2M2I124M34S	1S67M1I2M1D2M2I1M1D61M1I4M1I17M2I34M1I2M2D22M2D62M38S	1	36	39	3	0	0	0	3	8	5	1	6	5	282	282	0	280	280	0	0	0	0	0	0	0
00585866-be90-4bff-bf96-a5155418ff88	1	1	mapped_to_mapped	chr6	chr6	0	64989898	64989898	0	0	0	+	+	0	60	60	0	0	0	19	18	-1	1S977M1D359M1I19M1I4M5D5M1D10M20S	1S379M1I292M1D665M1I19M1I4M40S	1	21	41	20	0	0	0	2	3	1	7	1	-6	1376	1362	-14	1381	1360	-21	0	0	0	0	0	0
006afbd3-a5dd-488e-bcc6-e265cf8abbcd	1	1	mapped_to_mapped	chr1	chr1	0	84064441	84064441	0	0	0	+	+	0	60	60	0	0	0	105	152	47	34S54M6D22M2I376M1D3M1D6M1D40M2D242M1D65M1D145M2D206M1D5M1D3M1D3M1I135M1I355M1I100M2D6M1I26M1I47M1D1M1D68M1D129M1I24M1D150M1I30M1D2M1D14M1D54M4D173M1D3M2D228M1D14M1D120M2D131M2I152M1I8M2I3M1I151M3D130M1I99M1I38M2D24M1S	37S54M6D3M1D18M2I378M3D6M1D40M2D97M1I2M1I21M1D48M3D31M1D38M1D65M1D146M1D43M1D162M1D5M1D3M1D35M2D61M1D39M1I116M2D88M1D14M1I243M1I2M2D21M1I45M3D1M1D24M3I28M2D12M1D74M1I57M1I24M1D38M1D107M1I2M1I32M1D2M1D14M1D45M2D7M4D173M1D3M2D15M1D120M2I107M1D120M2D214M1D3M2I76M1I68M1I50M1D11M1D16M4D3M3D8M1I119M1I137M2D23M1S	1	35	38	3	0	0	0	17	23	6	43	70	27	3602	3580	-22	3628	3627	-1	0	0	0	0	0	0
0073f3c0-5af0-4691-8100-10c5a30efc55	1	1	mapped_to_mapped	chr12	chr12	0	112595073	112595070	3	0	0	-	-	0	60	60	0	0	0	9	9	0	2S45M4D193M2I331M	51M1D2M3I191M2I331M	1	2	0	-2	0	0	0	2	5	3	4	1	-3	571	580	9	573	576	3	0	0	0	0	0	0
00bb5df4-101b-4549-99f2-5df722844f98	1	1	mapped_to_mapped	chr2	chr2	0	195699374	195699375	1	0	0	+	+	0	60	60	0	0	0	1	1	0	908M1I63M	907M1I62M1S	1	0	1	1	0	0	0	1	1	0	0	0	0	972	970	-2	971	969	-2	0	0	0	0	0	0
00ef6a11-0fe8-400e-ade3-650aa30da177	1	1	mapped_to_mapped	chr5	chr5	0	180386311	180386311	0	0	0	+	+	0	59	51	-8	1	0	13	13	0	1S24M1D82M3I2M1D245M3S	39S24M1D78M1I4M1I2M1D218M1D26M3S	1	4	42	38	0	0	0	3	2	-1	2	3	1	356	354	-2	355	355	0	0	0	0	0	0	0
0137c47d-6551-4f1a-84f4-e9369da48266	1	1	mapped_to_mapped	chr4	chr4	0	85177637	85177637	0	0	0	+	+	0	60	60	0	0	0	0	2	2	33S1088M11S	33S113M1D858M1I116M11S	1	44	44	0	0	0	0	0	1	1	0	1	1	1088	1088	0	1088	1088	0	0	0	0	0	0	0
01796034-9e1f-44db-8b06-2297bff85ab7	1	1	mapped_to_mapped	chr20	chr20	0	45307349	45307377	28	0	0	+	+	0	60	60	0	0	0	79	80	1	31S14M4D6M3I44M1D7M3D1M1D5M3D100M5D3M1D11M1D7M3D21M1I9M4D2M2D22M1I22M1I173M1I497M1I498M1I148M2D8M2D95M1D353M2I22M1D296M1I3M1I449M2I337M7S	56S40M1D7M3D6M4D100M5D4M2D9M1D7M3D30M1D29M1I14M1I3M1I4M1D39M1I134M1I149M1D4M2D341M1I308M1I81M1I9M1I37M1D210M5I463M3I2M1D17M1D262M1D33M1I452M2I335M6S	1	38	62	24	0	0	0	15	20	5	34	28	-6	3168	3149	-19	3187	3157	-30	0	0	0	0	0	0
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	1	1	mapped_to_mapped	chr2	chr2	0	48378702	48378702	0	0	0	-	-	0	60	60	0	0	0	16	16	0	113M1D407M2I572M2D845M1D2M3D1035M1I168M	362M1D516M1I214M1D89M1I179M3I1787M	1	0	0	0	0	0	0	3	5	2	7	2	-5	3145	3152	7	3149	3149	0	0	0	0	0	0	0
