read_id	clean_length	perturbed_length	length_change	clean_mean_qscore	perturbed_mean_qscore	mean_qscore_change	sequence_identical	edit_distance	normalized_edit_distance	sequence_identity_percent	alignment_identity_percent	matches	substitutions	insertions	deletions
000ed7f1-bc62-4311-bf8c-218e4a715d9a	1538	1564	26	29.951235	29.340793	-0.610443	0	50	0.0319693095	96.803069	96.821360	1523	6	35	9
0036953b-980e-47f3-bdd0-3923921aff69	318	317	-1	27.578616	27.463722	-0.114894	0	10	0.0314465409	96.855346	96.875000	310	5	2	3
00585866-be90-4bff-bf96-a5155418ff88	1397	1400	3	35.207588	34.630714	-0.576873	0	12	0.0085714286	99.142857	99.144080	1390	5	5	2
006afbd3-a5dd-488e-bcc6-e265cf8abbcd	3637	3639	2	30.710476	30.924979	0.214504	0	35	0.0096180269	99.038197	99.040833	3614	13	12	10
0073f3c0-5af0-4691-8100-10c5a30efc55	573	574	1	40.788831	40.376307	-0.412524	0	2	0.0034843206	99.651568	99.651568	572	1	1	0
00bb5df4-101b-4549-99f2-5df722844f98	972	972	0	40.168724	40.259259	0.090535	0	2	0.0020576132	99.794239	99.794450	971	0	1	1
00ef6a11-0fe8-400e-ade3-650aa30da177	360	360	0	33.305556	33.897222	0.591667	1	0	0.0000000000	100.000000	100.000000	360	0	0	0
0137c47d-6551-4f1a-84f4-e9369da48266	1132	1132	0	38.645760	38.240283	-0.405477	0	8	0.0070671378	99.293286	99.293910	1125	6	1	1
01796034-9e1f-44db-8b06-2297bff85ab7	3206	3208	2	36.148784	35.897132	-0.251651	0	26	0.0081047382	99.189526	99.191542	3190	8	10	8
01f5e7c3-c75d-4cc9-b8dd-89e4a6777b66	3145	3146	1	40.947854	40.835029	-0.112825	0	4	0.0012714558	99.872854	99.872895	3143	1	2	1
0202d0c0-9e10-4fb4-9908-d41d3583c054	488	488	0	37.147541	36.696721	-0.450820	0	1	0.0020491803	99.795082	99.795082	487	1	0	0
029ac4f8-d2fe-4760-833c-8b952b71c658	357	359	2	28.593838	28.147632	-0.446205	0	8	0.0222841226	97.771588	97.777778	352	4	3	1
02ac7244-7cba-4d0c-800e-ddeac889047e	2011	2009	-2	41.400796	41.489298	0.088503	0	5	0.0024863252	99.751367	99.751491	2007	1	1	3
02d9a072-aa01-41d8-9931-4f5972bdf075	4565	4567	2	38.745893	38.660828	-0.085065	0	13	0.0028465076	99.715349	99.715536	4557	5	5	3
