read_id	attack_type	context_signal_start	context_signal_end	window_samples	changed_samples	changed_fraction_of_window	changed_fraction_of_read	clean_window_mean	attacked_window_mean	clean_window_std	attacked_window_std	left_boundary_value	right_boundary_value	outside_window_identical	raw_signal_samples
00533577-803b-48cd-814e-adfa3e058d91	local_linear_interpolation	76084	76582	498	495	0.9939759036144579	0.0013554328211896592	706.0823293172691	742.5	112.00030142402419	47.523245210542655	825	660	1	365197
199fcf4a-a100-4779-b89e-c80f4793cdfc	local_linear_interpolation	52924	53470	546	545	0.9981684981684982	0.001171179108743443	750.2271062271062	700.0	116.34318187392485	53.59541831601713	793	607	1	465343
1de25dab-c1cd-4c85-9b97-0104f8f411a5	local_linear_interpolation	261058	261472	414	414	1.0	0.0013529942350680418	703.7777777777778	760.0	120.15086687377942	76.59855197228735	893	627	1	305988
26efcc36-d025-471e-933a-e57a2447c465	local_linear_interpolation	367570	368302	732	731	0.9986338797814208	0.001593328509028135	746.6338797814208	764.0	114.72524721885837	49.01318546806335	849	679	1	458788
72209365-d223-4c87-9ba5-63376a9170fd	local_linear_interpolation	186064	187030	966	964	0.9979296066252588	0.0020976951465775362	756.9896480331263	842.5	108.92653276805385	48.73838450568097	758	927	1	459552
7c1164dc-2545-441b-ab5d-11227989dfe6	local_linear_interpolation	369892	370330	438	436	0.9954337899543378	0.0010100986699595265	783.1506849315068	793.5	118.22028867661426	43.49370132323209	718	869	1	431641
9d796ae7-6945-4d1e-abb4-7bdce517a96d	local_linear_interpolation	301588	302086	498	496	0.9959839357429718	0.0015606268937546606	758.5642570281125	723.0	136.75421657320993	62.235883707741586	831	615	1	317821
a634b28d-7579-4d22-b746-c799d1222281	local_linear_interpolation	78694	79300	606	603	0.995049504950495	0.0019566423627673346	728.1353135313532	632.0	119.44846372234251	21.32933646552105	595	669	1	308181
cb0e7285-3c4a-461b-8540-7f0a3fda312c	local_linear_interpolation	262468	263188	720	717	0.9958333333333333	0.001367115253345333	733.6180555555555	667.5	106.85150628895755	57.941924947887834	768	567	1	524462
e7f01a96-5fbc-463c-9f12-f4e323ea44f3	local_linear_interpolation	264772	265234	462	461	0.9978354978354979	0.0013944512335297462	777.8809523809524	828.0	130.56535783848346	81.23481543091754	969	687	1	330596
