read_id	attack_type	context_signal_start	context_signal_end	window_samples	changed_samples	changed_fraction_of_window	changed_fraction_of_read	clean_window_mean	attacked_window_mean	clean_window_std	attacked_window_std	left_boundary_value	right_boundary_value	outside_window_identical	raw_signal_samples
00533577-803b-48cd-814e-adfa3e058d91	local_linear_interpolation	76318	76348	30	30	1.0	8.21474437084642e-05	667.8	662.5	22.853737841616486	2.0289570391377603	666	659	1	365197
199fcf4a-a100-4779-b89e-c80f4793cdfc	local_linear_interpolation	53188	53212	24	24	1.0	5.1574859834573636e-05	645.7916666666666	643.0	14.514300897926692	2.1984843263788196	647	639	1	465343
1de25dab-c1cd-4c85-9b97-0104f8f411a5	local_linear_interpolation	261232	261292	60	60	1.0	0.0001960861210243539	655.45	665.0	17.256327341973243	5.134848261308864	674	656	1	305988
26efcc36-d025-471e-933a-e57a2447c465	local_linear_interpolation	367936	367996	60	59	0.9833333333333333	0.00012859970182306426	699.0166666666667	694.0	21.549548848074654	6.268971207462991	705	683	1	458788
72209365-d223-4c87-9ba5-63376a9170fd	local_linear_interpolation	186664	186676	12	12	1.0	2.6112387716732817e-05	761.0	699.5	95.72443087669242	66.24135163677344	575	824	1	459552
7c1164dc-2545-441b-ab5d-11227989dfe6	local_linear_interpolation	370096	370108	12	12	1.0	2.7800880824574125e-05	691.4166666666666	808.0	100.0720226747827	57.768215020603385	917	699	1	431641
9d796ae7-6945-4d1e-abb4-7bdce517a96d	local_linear_interpolation	301828	301834	6	6	1.0	1.887855113412896e-05	888.5	880.0	4.958158260214505	6.0553007081949835	892	868	1	317821
a634b28d-7579-4d22-b746-c799d1222281	local_linear_interpolation	78958	79006	48	48	1.0	0.00015575262589192715	839.8541666666666	825.5	14.701175666327583	4.232808366400098	833	818	1	308181
cb0e7285-3c4a-461b-8540-7f0a3fda312c	local_linear_interpolation	262864	262870	6	6	1.0	1.1440295007073915e-05	797.8333333333334	805.0	13.18353350037673	12.884098726725126	779	831	1	524462
e7f01a96-5fbc-463c-9f12-f4e323ea44f3	local_linear_interpolation	265000	265024	24	23	0.9583333333333334	6.957131967718907e-05	700.4583333333334	698.0	15.821870850889356	1.224744871391589	700	696	1	330596
